Broker Name,Workflow Name,Start Time,Finish Time,Workflow Makespan,Workflow Makespan,Submitted Tasks,Completed Tasks,Failed Tasks
0,seismology-103,0.0,4418.857999999999,4418.857999999999,2079.414118811881,101,101,0
1,seismology-103,1224.1709999999998,5644.793,4420.621999999999,2080.8218712871294,101,101,0
2,seismology-103,2426.032,6846.503999999998,4420.471999999998,2080.8549900990106,101,101,0
3,seismology-103,2706.2380000000007,7126.824,4420.585999999999,2079.8201683168313,101,101,0
4,seismology-103,4079.8780000000006,8502.505,4422.626999999999,2082.2543267326723,101,101,0
5,seismology-103,4288.495999999999,8710.809000000001,4422.313000000002,2082.0654207920793,101,101,0
6,seismology-103,4754.594999999999,9173.818000000001,4419.223000000002,2080.4681584158416,101,101,0
7,seismology-103,5335.682999999999,9757.505,4421.822,2081.9596336633654,101,101,0
8,seismology-103,13740.505,18167.09,4426.585000000001,2086.754534653466,101,101,0
9,seismology-103,13862.605,18289.393,4426.7880000000005,2087.0036237623767,101,101,0
10,seismology-103,14703.166000000001,19123.985,4420.8189999999995,2081.014381188118,101,101,0
11,seismology-103,15125.718,19553.936000000005,4428.218000000004,2087.8523564356424,101,101,0
12,seismology-103,15180.982000000002,19609.523,4428.540999999999,2088.0314801980176,101,101,0
13,seismology-103,15582.529000000002,20007.017,4424.487999999998,2083.8061188118795,101,101,0
14,seismology-103,16282.175500000001,20704.432,4422.2564999999995,2081.7859504950484,101,101,0
15,seismology-103,16402.426000000003,23123.091,6720.664999999997,3949.039391089117,101,101,0
16,seismology-103,16723.72,99.0,99.0,99.0,100,0,100
17,seismology-103,18025.0445,99.0,99.0,99.0,100,0,100
18,seismology-103,19223.389,23641.803,4418.414000000001,2079.116841584161,101,101,0
19,seismology-103,21100.66,25521.171,4420.510999999999,2080.9755396039627,101,101,0
20,seismology-103,21277.192000000003,25697.007,4419.814999999999,2080.6230198019807,101,101,0
21,seismology-103,22132.884000000002,26552.170000000002,4419.286,2080.2110940594066,101,101,0
22,seismology-103,23612.201,28031.406000000003,4419.205000000002,2080.2015841584184,101,101,0
23,seismology-103,24857.915,29277.167,4419.252,2080.04138118812,101,101,0
24,seismology-103,27726.489,32146.633,4420.144,2081.0231534653476,101,101,0
25,seismology-103,30255.933,34675.829,4419.895999999997,2080.3639554455467,101,101,0
26,seismology-103,33548.825,37969.877,4421.052000000003,2081.4008465346583,101,101,0
27,seismology-103,33718.366,38139.642,4421.275999999998,2081.5900742574263,101,101,0
28,seismology-103,33727.466,38152.286,4424.82,2084.5632821782215,101,101,0
29,seismology-103,34036.666,38462.248,4425.582000000002,2085.168519801987,101,101,0
30,seismology-103,34438.61,38859.83,4421.220000000001,2080.9710792079227,101,101,0
31,seismology-103,34862.94500000001,39283.288,4420.3429999999935,2080.927059405936,101,101,0
32,seismology-103,36072.122,40493.227999999996,4421.1059999999925,2081.62100990099,101,101,0
33,seismology-103,39183.94,43602.523,4418.582999999999,2079.516702970296,101,101,0
34,seismology-103,41272.264,45692.633,4420.368999999999,2080.814618811881,101,101,0
35,seismology-103,41802.9495,46223.263,4420.313499999997,2080.6957178217813,101,101,0
36,seismology-103,43266.648,47686.072,4419.423999999999,2079.58778217822,101,101,0
37,seismology-103,44079.770000000004,48499.136,4419.3659999999945,2080.368618811878,101,101,0
38,seismology-103,44353.253000000004,48774.098,4420.844999999994,2081.1925346534636,101,101,0
39,seismology-103,44797.9165,49218.106,4420.1895,2080.673950495052,101,101,0
40,seismology-103,47047.424000000006,51465.949,4418.524999999994,2079.8575742574217,101,101,0
41,seismology-103,49253.5515,53672.842000000004,4419.290500000003,2079.832376237625,101,101,0
42,seismology-103,50173.19,54593.226,4420.036,2080.450321782178,101,101,0
43,seismology-103,50400.46,54820.385,4419.925000000003,2080.1516683168347,101,101,0
44,seismology-103,51050.8635,55472.262,4421.398500000003,2081.2316435643606,101,101,0
45,seismology-103,51340.3,55761.523,4421.222999999998,2080.945524752476,101,101,0
46,seismology-103,52884.47,57303.981,4419.510999999999,2080.335039603962,101,101,0
47,seismology-103,53456.786,57877.503,4420.716999999997,2081.2849702970334,101,101,0
48,seismology-103,54557.943,58977.466,4419.523000000001,2080.129900990101,101,101,0
49,seismology-103,56533.544,60953.54,4419.995999999999,2080.43397029703,101,101,0
50,seismology-103,56623.669,61043.074,4419.404999999999,2079.978158415843,101,101,0
51,seismology-103,58589.138,63009.493,4420.355000000003,2080.910762376241,101,101,0
52,seismology-103,58941.988,63363.182499999995,4421.194499999998,2080.8463960396098,101,101,0
53,seismology-103,59273.815,63693.504,4419.6889999999985,2080.313435643565,101,101,0
54,seismology-103,59362.814,63784.321,4421.507000000005,2081.129282178223,101,101,0
55,seismology-103,59656.74,64078.524,4421.784,2081.550024752482,101,101,0
56,seismology-103,59908.479999999996,66627.856,6719.376000000004,3948.046430693084,101,101,0
57,seismology-103,61643.83,66063.204,4419.373999999996,2080.324297029704,101,101,0
58,seismology-103,63570.462,67990.633,4420.171000000002,2080.4862425742604,101,101,0
59,seismology-103,64828.952000000005,69249.393,4420.440999999992,2080.682499999999,101,101,0
60,seismology-103,66607.132,71027.71,4420.578000000009,2081.176975247521,101,101,0
61,seismology-103,67661.54000000001,72088.05,4426.509999999995,2086.9454108910713,101,101,0
62,seismology-103,67750.74000000002,72177.379,4426.638999999981,2087.0530396039308,101,101,0
63,seismology-103,68465.93,72886.133,4420.203000000009,2080.7269356435677,101,101,0
64,seismology-103,69789.45,74209.768,4420.317999999999,2080.788202970296,101,101,0
65,seismology-103,70454.31450000001,74875.03199999999,4420.717499999984,2080.5743217821614,101,101,0
66,seismology-103,71353.61750000001,75773.504,4419.886499999993,2080.5811386138507,101,101,0
67,seismology-103,71916.21800000001,76337.424,4421.205999999991,2081.5495841583975,101,101,0
68,seismology-103,72168.746,76589.014,4420.267999999996,2080.5739158415736,101,101,0
69,seismology-103,75423.45,79842.867,4419.417000000001,2080.0693514851464,101,101,0
70,seismology-103,75423.55,79842.977,4419.426999999996,2080.0792524752405,101,101,0
71,seismology-103,79168.4675,83590.452,4421.984500000006,2082.592148514849,101,101,0
72,seismology-103,79198.5675,83618.17,4419.602499999994,2079.7274158415707,101,101,0
73,seismology-103,79249.5675,83669.391,4419.823499999999,2079.845316831667,101,101,0
74,seismology-103,79269.5675,83689.524,4419.9565,2079.893019801967,101,101,0
75,seismology-103,80102.759,84522.917,4420.157999999996,2080.5653910890983,101,101,0
76,seismology-103,81357.3945,85777.321,4419.926500000001,2080.7611138613843,101,101,0
77,seismology-103,81879.995,86300.493,4420.498000000007,2081.2115544554376,101,101,0
78,seismology-103,82533.5775,99.0,99.0,99.0,100,47,53
79,seismology-103,82840.8295,99.0,99.0,99.0,100,0,100
80,seismology-103,85854.45,99.0,99.0,99.0,100,0,100
81,seismology-103,85923.55,99.0,99.0,99.0,100,0,100

